yourlist:M201907266746803381A1F0E0DB47453E0216320D5EB8C6I	Entry	Metal binding	Keywords	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (GO)	Gene ontology (molecular function)	Gene ontology IDs	Developmental stage	Interacts with	Intramembrane	Subcellular location [CC]	Topological domain	Transmembrane	Cross-reference (BioGrid)	Cross-reference (KEGG)	Cross-reference (EcoGene)	yourlist:M201907266746803381A1F0E0DB47453E0216320D5EB644J
nlpE	P40710		3D-structure;Cell adhesion;Cell outer membrane;Complete proteome;Copper;Disulfide bond;Lipoprotein;Membrane;Palmitate;Reference proteome;Signal	cell adhesion [GO:0007155]; regulation of cell-substrate adhesion [GO:0010810]	cell outer membrane [GO:0009279]	cell outer membrane [GO:0009279]; identical protein binding [GO:0042802]; cell adhesion [GO:0007155]; regulation of cell-substrate adhesion [GO:0010810]	identical protein binding [GO:0042802]	GO:0007155; GO:0009279; GO:0010810; GO:0042802		Itself		SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000269|PubMed:15252048, ECO:0000305|PubMed:7635808}; Lipid-anchor {ECO:0000305|PubMed:15252048, ECO:0000305|PubMed:7635808}.	TOPO_DOM 21 236 Periplasmic. {ECO:0000305|PubMed:7635808}.		4260842;	ecj:JW0188;eco:b0192;	EG12137;	
yaeF	P37056		Cell inner membrane;Cell membrane;Complete proteome;Hydrolase;Lipoprotein;Membrane;Palmitate;Protease;Reference proteome;Signal;Thiol protease		plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; cysteine-type peptidase activity [GO:0008234]	cysteine-type peptidase activity [GO:0008234]	GO:0005886; GO:0008234				SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|PROSITE-ProRule:PRU00303}; Lipid-anchor {ECO:0000255|PROSITE-ProRule:PRU00303}.			4261951;	ecj:JW5016;eco:b0193;	EG12138;	
metI	P31547		3D-structure;Amino-acid transport;Cell inner membrane;Cell membrane;Complete proteome;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	D-methionine transport [GO:0048473]	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; L-methionine transmembrane transporter activity [GO:0015191]; D-methionine transport [GO:0048473]	L-methionine transmembrane transporter activity [GO:0015191]	GO:0005886; GO:0005887; GO:0015191; GO:0048473; GO:0055052		P30750		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000305|PubMed:15919996}.	TOPO_DOM 1 19 Periplasmic. {ECO:0000255}.; TOPO_DOM 41 57 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 79 80 Periplasmic. {ECO:0000255}.; TOPO_DOM 102 151 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 173 185 Periplasmic. {ECO:0000255}.; TOPO_DOM 207 217 Cytoplasmic. {ECO:0000269|PubMed:15919996}.	TRANSMEM 20 40 Helical. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 58 78 Helical. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 81 101 Helical. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 152 172 Helical. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 186 206 Helical. {ECO:0000255|PROSITE-ProRule:PRU00441}.	4259754;	ecj:JW0194;eco:b0198;	EG11737;	
rnhA	P0A7Y4	METAL 10 10 Magnesium 1. {ECO:0000269|PubMed:1311386}.; METAL 10 10 Magnesium 2. {ECO:0000269|PubMed:1311386}.; METAL 48 48 Magnesium 1. {ECO:0000269|PubMed:1311386}.; METAL 70 70 Magnesium 1. {ECO:0000269|PubMed:1311386}.; METAL 134 134 Magnesium 2. {ECO:0000269|PubMed:1311386}.	3D-structure;Complete proteome;Cytoplasm;Direct protein sequencing;Endonuclease;Hydrolase;Magnesium;Metal-binding;Nuclease;Reference proteome	DNA replication, removal of RNA primer [GO:0043137]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; endonuclease activity [GO:0004519]; magnesium ion binding [GO:0000287]; nucleic acid binding [GO:0003676]; RNA-DNA hybrid ribonuclease activity [GO:0004523]; DNA replication, removal of RNA primer [GO:0043137]	endonuclease activity [GO:0004519]; magnesium ion binding [GO:0000287]; nucleic acid binding [GO:0003676]; RNA-DNA hybrid ribonuclease activity [GO:0004523]	GO:0000287; GO:0003676; GO:0004519; GO:0004523; GO:0005737; GO:0043137				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.			4263455;	ecj:JW0204;eco:b0214;	EG10860;	
yafV	Q47679		Complete proteome;Hydrolase;Reference proteome	nitrogen compound metabolic process [GO:0006807]		2-oxoglutaramate amidase activity [GO:0106008]; omega-amidase activity [GO:0050152]; nitrogen compound metabolic process [GO:0006807]	2-oxoglutaramate amidase activity [GO:0106008]; omega-amidase activity [GO:0050152]	GO:0006807; GO:0050152; GO:0106008							4261824;	ecj:JW5019;eco:b0219;	EG13334;	
ivy	P0AD59		3D-structure;Complete proteome;Direct protein sequencing;Disulfide bond;Periplasm;Reference proteome;Signal	chaperone-mediated protein folding [GO:0061077]; regulation of catalytic activity [GO:0050790]	outer membrane-bounded periplasmic space [GO:0030288]	outer membrane-bounded periplasmic space [GO:0030288]; lysozyme inhibitor activity [GO:0060241]; chaperone-mediated protein folding [GO:0061077]; regulation of catalytic activity [GO:0050790]	lysozyme inhibitor activity [GO:0060241]	GO:0030288; GO:0050790; GO:0060241; GO:0061077				SUBCELLULAR LOCATION: Periplasm.			4261212;	ecj:JW0210;eco:b0220;	EG13547;	
mmuP	Q47689		Cell inner membrane;Cell membrane;Complete proteome;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	amino acid transport [GO:0006865]; methionine biosynthetic process [GO:0009086]; S-methylmethionine transport [GO:0015806]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; S-methylmethionine transmembrane transporter activity [GO:0000100]; amino acid transport [GO:0006865]; methionine biosynthetic process [GO:0009086]; S-methylmethionine transport [GO:0015806]	S-methylmethionine transmembrane transporter activity [GO:0000100]	GO:0000100; GO:0005886; GO:0006865; GO:0009086; GO:0015806; GO:0016021				SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.		TRANSMEM 20 40 Helical. {ECO:0000255}.; TRANSMEM 43 63 Helical. {ECO:0000255}.; TRANSMEM 96 116 Helical. {ECO:0000255}.; TRANSMEM 125 145 Helical. {ECO:0000255}.; TRANSMEM 161 181 Helical. {ECO:0000255}.; TRANSMEM 206 226 Helical. {ECO:0000255}.; TRANSMEM 245 265 Helical. {ECO:0000255}.; TRANSMEM 282 302 Helical. {ECO:0000255}.; TRANSMEM 337 357 Helical. {ECO:0000255}.; TRANSMEM 361 381 Helical. {ECO:0000255}.; TRANSMEM 408 428 Helical. {ECO:0000255}.; TRANSMEM 434 454 Helical. {ECO:0000255}.	4259776;	ecj:JW5027;eco:b0260;	EG13342;	
paoD	P77183		Chaperone;Complete proteome;Reference proteome			molybdopterin cofactor binding [GO:0043546]	molybdopterin cofactor binding [GO:0043546]	GO:0043546							4261499;	ecj:JW0277;eco:b0283;	EG13556;	
paoC	P77489		3D-structure;Complete proteome;Metal-binding;Molybdenum;Oxidoreductase;Periplasm;Reference proteome	cellular response to DNA damage stimulus [GO:0006974]	periplasmic space [GO:0042597]	periplasmic space [GO:0042597]; carboxylate reductase activity [GO:0047770]; molybdenum ion binding [GO:0030151]; oxidoreductase activity, acting on the aldehyde or oxo group of donors [GO:0016903]; cellular response to DNA damage stimulus [GO:0006974]	carboxylate reductase activity [GO:0047770]; molybdenum ion binding [GO:0030151]; oxidoreductase activity, acting on the aldehyde or oxo group of donors [GO:0016903]	GO:0006974; GO:0016903; GO:0030151; GO:0042597; GO:0047770				SUBCELLULAR LOCATION: Periplasm {ECO:0000305|PubMed:19368556}.			4261492;	ecj:JW0278;eco:b0284;	EG13557;	
paoB	P77324	METAL 119 119 Iron-sulfur (4Fe-4S). {ECO:0000244|PDB:5G5G, ECO:0000244|PDB:5G5H, ECO:0000269|PubMed:27622978}.; METAL 129 129 Iron-sulfur (4Fe-4S). {ECO:0000244|PDB:5G5G, ECO:0000244|PDB:5G5H, ECO:0000269|PubMed:27622978}.; METAL 138 138 Iron-sulfur (4Fe-4S). {ECO:0000244|PDB:5G5G, ECO:0000244|PDB:5G5H, ECO:0000269|PubMed:27622978}.; METAL 157 157 Iron-sulfur (4Fe-4S). {ECO:0000244|PDB:5G5G, ECO:0000244|PDB:5G5H, ECO:0000269|PubMed:27622978}.	3D-structure;4Fe-4S;Complete proteome;FAD;Flavoprotein;Iron;Iron-sulfur;Metal-binding;Oxidoreductase;Periplasm;Reference proteome		periplasmic space [GO:0042597]	periplasmic space [GO:0042597]; 4 iron, 4 sulfur cluster binding [GO:0051539]; carboxylate reductase activity [GO:0047770]; FAD binding [GO:0071949]; flavin adenine dinucleotide binding [GO:0050660]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on the aldehyde or oxo group of donors [GO:0016903]	4 iron, 4 sulfur cluster binding [GO:0051539]; carboxylate reductase activity [GO:0047770]; FAD binding [GO:0071949]; flavin adenine dinucleotide binding [GO:0050660]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on the aldehyde or oxo group of donors [GO:0016903]	GO:0016903; GO:0042597; GO:0046872; GO:0047770; GO:0050660; GO:0051539; GO:0071949				SUBCELLULAR LOCATION: Periplasm {ECO:0000305|PubMed:19368556}.			4259785;	ecj:JW0279;eco:b0285;	EG13558;	
paoA	P77165	METAL 99 99 Iron-sulfur (2Fe-2S) 1. {ECO:0000244|PDB:5G5G, ECO:0000244|PDB:5G5H, ECO:0000269|PubMed:27622978}.; METAL 104 104 Iron-sulfur (2Fe-2S) 1. {ECO:0000244|PDB:5G5G, ECO:0000244|PDB:5G5H, ECO:0000269|PubMed:27622978}.; METAL 105 105 Iron-sulfur (2Fe-2S) 1; via amide nitrogen. {ECO:0000244|PDB:5G5H, ECO:0000269|PubMed:27622978}.; METAL 107 107 Iron-sulfur (2Fe-2S) 1. {ECO:0000244|PDB:5G5G, ECO:0000244|PDB:5G5H, ECO:0000269|PubMed:27622978}.; METAL 119 119 Iron-sulfur (2Fe-2S) 1. {ECO:0000244|PDB:5G5G, ECO:0000244|PDB:5G5H, ECO:0000269|PubMed:27622978}.; METAL 158 158 Iron-sulfur (2Fe-2S) 2. {ECO:0000244|PDB:5G5G, ECO:0000244|PDB:5G5H, ECO:0000269|PubMed:27622978}.; METAL 161 161 Iron-sulfur (2Fe-2S) 2. {ECO:0000244|PDB:5G5G, ECO:0000244|PDB:5G5H, ECO:0000269|PubMed:27622978}.; METAL 208 208 Iron-sulfur (2Fe-2S) 2. {ECO:0000244|PDB:5G5G, ECO:0000244|PDB:5G5H, ECO:0000269|PubMed:27622978}.; METAL 210 210 Iron-sulfur (2Fe-2S) 2. {ECO:0000244|PDB:5G5G, ECO:0000244|PDB:5G5H, ECO:0000269|PubMed:27622978}.	2Fe-2S;3D-structure;Complete proteome;Iron;Iron-sulfur;Metal-binding;Oxidoreductase;Periplasm;Reference proteome;Signal		periplasmic space [GO:0042597]	periplasmic space [GO:0042597]; 2 iron, 2 sulfur cluster binding [GO:0051537]; carboxylate reductase activity [GO:0047770]; electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on the aldehyde or oxo group of donors [GO:0016903]	2 iron, 2 sulfur cluster binding [GO:0051537]; carboxylate reductase activity [GO:0047770]; electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on the aldehyde or oxo group of donors [GO:0016903]	GO:0009055; GO:0016903; GO:0042597; GO:0046872; GO:0047770; GO:0051537		P0AFM2		SUBCELLULAR LOCATION: Periplasm {ECO:0000305|PubMed:19368556}.			4259786;	ecj:JW0280;eco:b0286;	EG13559;	
ecpC	P77802		Complete proteome;Fimbrium biogenesis;Reference proteome;Signal;Transport							P76594					4259790;	ecj:JW0285;eco:b0291;	EG13563;	
rclA	P77212		Complete proteome;Disulfide bond;FAD;Flavoprotein;NADP;Oxidoreductase;Redox-active center;Reference proteome;Stress response	cell redox homeostasis [GO:0045454]; response to hypochlorite [GO:1901530]	cell [GO:0005623]	cell [GO:0005623]; electron transfer activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]; oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor [GO:0016668]; cell redox homeostasis [GO:0045454]; response to hypochlorite [GO:1901530]	electron transfer activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]; oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor [GO:0016668]	GO:0005623; GO:0009055; GO:0016668; GO:0045454; GO:0050660; GO:1901530							4259800;	ecj:JW5040;eco:b0304;	EG13580;	
yahK	P75691	METAL 40 40 Zinc 1; catalytic.; METAL 62 62 Zinc 1; catalytic.; METAL 93 93 Zinc 2.; METAL 96 96 Zinc 2.; METAL 99 99 Zinc 2.; METAL 107 107 Zinc 2.; METAL 158 158 Zinc 1; catalytic.	3D-structure;Complete proteome;Metal-binding;NADP;Oxidoreductase;Reference proteome;Zinc			alcohol dehydrogenase (NADP+) activity [GO:0008106]; zinc ion binding [GO:0008270]	alcohol dehydrogenase (NADP+) activity [GO:0008106]; zinc ion binding [GO:0008270]	GO:0008106; GO:0008270							4259802;	ecj:JW0317;eco:b0325;	EG13595;	
yahO	P75694		Complete proteome;Periplasm;Reference proteome;Signal	response to radiation [GO:0009314]	periplasmic space [GO:0042597]	periplasmic space [GO:0042597]; response to radiation [GO:0009314]		GO:0009314; GO:0042597				SUBCELLULAR LOCATION: Periplasm {ECO:0000305}.			4259806;	ecj:JW0321;eco:b0329;	EG13599;	
prpR	P77743		3D-structure;ATP-binding;Complete proteome;DNA-binding;Nucleotide-binding;Reference proteome;Transcription;Transcription regulation;Two-component regulatory system	negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of transcription, DNA-templated [GO:0045893]; propionate catabolic process, 2-methylcitrate cycle [GO:0019629]; response to radiation [GO:0009314]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; DNA-binding transcription factor activity [GO:0003700]; phosphorelay response regulator activity [GO:0000156]; sequence-specific DNA binding [GO:0043565]; transcription factor binding [GO:0008134]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of transcription, DNA-templated [GO:0045893]; propionate catabolic process, 2-methylcitrate cycle [GO:0019629]; response to radiation [GO:0009314]	ATP binding [GO:0005524]; DNA-binding transcription factor activity [GO:0003700]; phosphorelay response regulator activity [GO:0000156]; sequence-specific DNA binding [GO:0043565]; transcription factor binding [GO:0008134]	GO:0000156; GO:0003700; GO:0005524; GO:0005737; GO:0008134; GO:0009314; GO:0019629; GO:0043565; GO:0045892; GO:0045893							4259807;	ecj:JW0322;eco:b0330;	EG13600;	
prpB	P55799	METAL 22 22 Manganese 1. {ECO:0000250}.; METAL 24 24 Manganese 1. {ECO:0000250}.; METAL 51 51 Manganese 1. {ECO:0000250}.; METAL 51 51 Manganese 2. {ECO:0000250}.; METAL 77 77 Manganese 2. {ECO:0000250}.; METAL 187 187 Manganese 2. {ECO:0000250}.	Complete proteome;Hydrolase;Manganese;Metal-binding;Protein phosphatase;Reference proteome			metal ion binding [GO:0046872]; protein tyrosine/serine/threonine phosphatase activity [GO:0008138]	metal ion binding [GO:0046872]; protein tyrosine/serine/threonine phosphatase activity [GO:0008138]	GO:0008138; GO:0046872							4261420;	ecj:JW2704;eco:b2734;	EG13102;	
prpB	P77541	METAL 85 85 Magnesium. {ECO:0000255|HAMAP-Rule:MF_01939, ECO:0000269|PubMed:12706720, ECO:0000269|PubMed:15723538}.; METAL 87 87 Magnesium. {ECO:0000255|HAMAP-Rule:MF_01939, ECO:0000269|PubMed:12706720, ECO:0000269|PubMed:15723538}.	3D-structure;Complete proteome;Direct protein sequencing;Lyase;Magnesium;Metal-binding;Reference proteome	propionate catabolic process, 2-methylcitrate cycle [GO:0019629]		magnesium ion binding [GO:0000287]; methylisocitrate lyase activity [GO:0046421]; propionate catabolic process, 2-methylcitrate cycle [GO:0019629]	magnesium ion binding [GO:0000287]; methylisocitrate lyase activity [GO:0046421]	GO:0000287; GO:0019629; GO:0046421							4259808;	ecj:JW0323;eco:b0331;	EG13601;	
prpC	P31660		Complete proteome;Direct protein sequencing;Reference proteome;Transferase;Tricarboxylic acid cycle	propionate metabolic process, methylcitrate cycle [GO:0019679]; tricarboxylic acid cycle [GO:0006099]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; 2-methylcitrate synthase activity [GO:0050440]; citrate (Si)-synthase activity [GO:0004108]; propionate metabolic process, methylcitrate cycle [GO:0019679]; tricarboxylic acid cycle [GO:0006099]	2-methylcitrate synthase activity [GO:0050440]; citrate (Si)-synthase activity [GO:0004108]	GO:0004108; GO:0005737; GO:0006099; GO:0019679; GO:0050440							4259809;	ecj:JW0324;eco:b0333;	EG11756;	
prpD	P77243		3D-structure;Complete proteome;Direct protein sequencing;Lyase;Reference proteome;Tricarboxylic acid cycle	propionate catabolic process, 2-methylcitrate cycle [GO:0019629]; propionate metabolic process, methylcitrate cycle [GO:0019679]; tricarboxylic acid cycle [GO:0006099]		2 iron, 2 sulfur cluster binding [GO:0051537]; 2-methylcitrate dehydratase activity [GO:0047547]; aconitate hydratase activity [GO:0003994]; propionate catabolic process, 2-methylcitrate cycle [GO:0019629]; propionate metabolic process, methylcitrate cycle [GO:0019679]; tricarboxylic acid cycle [GO:0006099]	2 iron, 2 sulfur cluster binding [GO:0051537]; 2-methylcitrate dehydratase activity [GO:0047547]; aconitate hydratase activity [GO:0003994]	GO:0003994; GO:0006099; GO:0019629; GO:0019679; GO:0047547; GO:0051537								ecj:JW0325;eco:b0334;	EG13603;	
prpE	P77495		ATP-binding;Complete proteome;Ligase;Nucleotide-binding;Reference proteome	propionate catabolic process, 2-methylcitrate cycle [GO:0019629]		ATP binding [GO:0005524]; propionate-CoA ligase activity [GO:0050218]; propionate catabolic process, 2-methylcitrate cycle [GO:0019629]	ATP binding [GO:0005524]; propionate-CoA ligase activity [GO:0050218]	GO:0005524; GO:0019629; GO:0050218							4259811;	ecj:JW0326;eco:b0335;	EG13604;	
iraP	P0AAN9		Coiled coil;Complete proteome;Cytoplasm;Reference proteome;Stress response	cellular response to phosphate starvation [GO:0016036]; negative regulation of protein catabolic process [GO:0042177]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; anti-sigma factor antagonist activity [GO:0043856]; cellular response to phosphate starvation [GO:0016036]; negative regulation of protein catabolic process [GO:0042177]	anti-sigma factor antagonist activity [GO:0043856]	GO:0005737; GO:0016036; GO:0042177; GO:0043856				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.			4261526;	ecj:JW0373;eco:b0382;	EG11256;	
phoA	P00634	METAL 73 73 Magnesium.; METAL 73 73 Zinc 2.; METAL 175 175 Magnesium.; METAL 177 177 Magnesium.; METAL 344 344 Magnesium.; METAL 349 349 Zinc 1.; METAL 353 353 Zinc 1.; METAL 391 391 Zinc 2.; METAL 392 392 Zinc 2.; METAL 434 434 Zinc 1.	3D-structure;Complete proteome;Direct protein sequencing;Disulfide bond;Hydrolase;Magnesium;Metal-binding;Periplasm;Phosphoprotein;Reference proteome;Signal;Zinc	dephosphorylation [GO:0016311]; protein dephosphorylation [GO:0006470]	outer membrane-bounded periplasmic space [GO:0030288]; periplasmic space [GO:0042597]	outer membrane-bounded periplasmic space [GO:0030288]; periplasmic space [GO:0042597]; alkaline phosphatase activity [GO:0004035]; hydrogenase (acceptor) activity [GO:0033748]; magnesium ion binding [GO:0000287]; oxidoreductase activity, acting on phosphorus or arsenic in donors [GO:0030613]; phosphoprotein phosphatase activity [GO:0004721]; zinc ion binding [GO:0008270]; dephosphorylation [GO:0016311]; protein dephosphorylation [GO:0006470]	alkaline phosphatase activity [GO:0004035]; hydrogenase (acceptor) activity [GO:0033748]; magnesium ion binding [GO:0000287]; oxidoreductase activity, acting on phosphorus or arsenic in donors [GO:0030613]; phosphoprotein phosphatase activity [GO:0004721]; zinc ion binding [GO:0008270]	GO:0000287; GO:0004035; GO:0004721; GO:0006470; GO:0008270; GO:0016311; GO:0030288; GO:0030613; GO:0033748; GO:0042597		P0AEG4; Q5S007; P10408		SUBCELLULAR LOCATION: Periplasm.			4259827;	ecj:JW0374;eco:b0383;	EG10727;	
